Name,Location,Year,Kilometers_Driven,Owner_Type,Engine_CC,Power_bhp,Seats,Selling_Price_Lakh,Mileage_kmpl,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Kms_per_Year,Is_Luxury,Price_per_bhp
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,1582,126.2,5.0,12.5,19.67,False,True,10,4100.0,False,0.1
Honda Jazz V,Chennai,2011,46000,First,1199,88.7,5.0,4.5,19.5,True,True,14,3285.71,False,0.05
Maruti Ertiga VDI,Chennai,2012,87000,First,1248,88.76,7.0,6.0,20.77,False,True,13,6692.31,False,0.07
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,1968,140.8,5.0,17.74,15.2,False,False,12,3389.17,True,0.13
Nissan Micra Diesel XV,Jaipur,2013,86999,First,1461,63.1,5.0,3.5,23.08,False,True,12,7249.92,False,0.06
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,2755,171.5,8.0,17.5,11.36,False,False,9,4000.0,False,0.1
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,1598,103.6,5.0,5.2,20.54,False,True,12,5369.17,False,0.05
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,1248,74.0,5.0,1.95,22.3,False,True,13,5071.69,False,0.03
Maruti Ciaz Zeta,Kochi,2018,25692,First,1462,103.25,5.0,9.95,21.56,True,True,7,3670.29,False,0.1
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,1497,116.3,5.0,4.49,16.8,True,False,13,4615.38,False,0.04
Maruti Swift VDI BSIV,Jaipur,2015,64424,First,1248,74.0,5.0,5.6,25.2,False,True,10,6442.4,False,0.08
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,2179,187.7,5.0,27.0,12.7,False,False,11,6545.45,True,0.14
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,2179,115.0,5.0,17.5,0.0,False,False,13,6538.46,True,0.15
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,2477,175.56,7.0,15.0,13.5,False,True,11,10000.0,False,0.09
Honda Amaze S i-Dtech,Kochi,2016,58950,First,1498,98.6,5.0,5.4,25.8,False,True,9,6550.0,False,0.05
Maruti Swift DDiS VDI,Jaipur,2017,25000,First,1248,74.0,5.0,5.99,28.4,False,True,8,3125.0,False,0.08
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,1461,83.8,5.0,6.34,20.45,False,True,11,7042.64,False,0.08
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,2143,167.62,5.0,28.0,14.84,False,False,11,7136.36,True,0.17
BMW 3 Series 320d,Kochi,2014,32982,First,1995,190.0,5.0,18.55,22.69,False,False,11,2998.36,True,0.1
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,1248,88.5,5.0,8.25,23.65,False,True,10,5539.2,False,0.09
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,1984,177.01,5.0,23.5,13.53,True,False,10,5598.5,True,0.13
Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,1197,80.0,5.0,1.87,18.5,True,True,15,3053.8,False,0.02
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,1598,103.6,5.0,2.85,14.4,True,False,15,2200.0,False,0.03
Honda City Corporate Edition,Mumbai,2012,51920,First,1497,116.3,5.0,4.25,16.8,True,True,13,3993.85,False,0.04
Nissan Micra Diesel XV,Hyderabad,2012,54000,First,1461,63.1,5.0,4.25,24.72,False,True,13,4153.85,False,0.07
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,998,67.1,5.0,2.75,20.92,True,True,12,4500.0,False,0.04
Honda WRV i-VTEC VX,Kochi,2018,37430,First,1199,88.7,5.0,9.9,17.5,True,True,7,5347.14,False,0.11
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,2494,102.0,7.0,4.0,12.8,False,True,18,14555.56,False,0.04
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,1461,108.45,5.0,7.75,19.01,False,True,12,5166.67,False,0.07
Toyota Corolla Altis G,Delhi,2012,87615,First,1798,138.1,5.0,6.75,14.53,True,True,13,6739.62,False,0.05
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,2696,184.0,7.0,12.5,11.18,False,False,12,6000.0,False,0.07
Audi A6 2.7 TDI,Kolkata,2010,35000,First,2698,179.5,5.0,11.5,12.4,False,False,15,2333.33,True,0.06
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,1598,103.5,5.0,6.98,16.09,True,True,11,5039.18,False,0.07
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,1061,64.0,5.0,1.85,14.0,True,True,16,5238.5,False,0.03
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,1248,88.5,5.0,8.63,24.3,False,True,7,7153.57,False,0.1
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,1198,82.0,5.0,4.85,18.15,True,True,8,6500.0,False,0.06
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,2987,254.8,5.0,28.0,11.74,False,False,12,7083.33,True,0.11
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,1199,73.9,5.0,5.0,22.07,False,True,12,5166.67,False,0.07
Maruti Alto LXi,Delhi,2008,90000,Second,796,46.3,5.0,1.25,19.7,True,True,17,5294.12,False,0.03
Tata Nano LX SE,Kochi,2014,19698,First,624,37.5,4.0,1.53,25.4,True,True,11,1790.73,False,0.04
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,1198,77.0,6.0,5.58,25.32,False,True,8,2754.12,False,0.07
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,1197,82.9,5.0,4.74,18.5,True,True,11,3226.09,False,0.06
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,1999,149.92,5.0,8.85,14.62,True,False,11,4215.82,False,0.06
Toyota Corolla Altis G AT,Mumbai,2016,52001,First,1798,138.03,5.0,10.11,14.28,True,False,9,5777.89,False,0.07
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,1991,112.2,5.0,4.25,14.9,False,True,17,3412.06,False,0.04
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,2694,163.7,7.0,10.95,11.25,True,True,13,5438.77,False,0.07
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,1120,71.0,5.0,3.85,24.4,False,True,11,6818.18,False,0.05
Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,2498,105.0,6.0,5.5,16.55,False,True,13,5830.77,False,0.05
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,1968,174.33,5.0,21.43,17.11,False,False,10,1364.8,True,0.12
Maruti Swift LDI,Delhi,2014,52000,First,1248,74.0,5.0,4.25,22.9,False,True,11,4727.27,False,0.06
Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,1248,75.0,5.0,3.3,17.8,False,True,11,4818.18,False,0.04
Maruti Swift VDI,Delhi,2013,65650,First,1248,74.0,5.0,3.85,28.4,False,True,12,5470.83,False,0.05
Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,1197,82.0,5.0,3.6,18.9,True,True,10,5400.0,False,0.04
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,1598,103.2,5.0,3.99,15.04,True,True,10,3900.0,False,0.04
Renault KWID RXT,Kochi,2017,16542,First,799,53.3,5.0,3.3,25.17,True,True,8,2067.75,False,0.06
Hyundai i10 Asta,Kolkata,2010,32000,First,1197,78.9,5.0,2.07,20.36,True,True,15,2133.33,False,0.03
Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,1995,147.6,5.0,7.75,14.23,False,False,15,8120.8,False,0.05
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,998,67.1,5.0,2.25,18.2,True,True,15,2620.0,False,0.03
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,2393,147.8,8.0,16.5,13.68,False,True,8,2750.0,False,0.11
Ford Figo Diesel Titanium,Bangalore,2010,72000,First,1399,68.0,5.0,2.75,20.0,False,True,15,4800.0,False,0.04
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,1796,186.0,5.0,26.7,11.74,True,False,10,5800.0,True,0.14
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,2148,170.0,5.0,10.0,15.8,False,True,14,4642.86,True,0.06
Tata Indica V2 eLS,Chennai,2016,178000,First,1396,69.0,5.0,2.5,25.0,False,True,9,19777.78,False,0.04
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,1968,140.0,5.0,13.5,16.55,False,False,13,5051.08,True,0.1
Honda City ZX CVT,Mumbai,2007,63000,Second,1497,78.0,5.0,1.85,16.4,True,False,18,3500.0,False,0.02
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,1950,194.0,5.0,35.67,0.0,False,False,6,2561.5,True,0.18
Maruti Ertiga SHVS VDI,Pune,2016,63000,First,1248,88.5,7.0,8.15,24.52,False,True,9,7000.0,False,0.09
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,1396,88.7,5.0,10.5,22.1,False,True,7,1857.14,False,0.12
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,4806,500.0,5.0,14.5,8.5,True,False,17,4294.12,False,0.03
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,2179,140.0,7.0,9.65,15.1,False,True,10,5572.9,False,0.07
